authors,title,refinfo,date,reflink,reftype
"D. Wheeler and P. Lessner, ",Capacitor with conductive polymer,US6136176,2000-10-24,https://patents.google.com/patent/US6136176A/en?oq=US6136176,Patent
"R. Hahn, P. Lessner, V. Rajasekaran, ",Electrolytic capacitor with improved leakage and dissipation factor,US6072694,2000-06-06,https://patents.google.com/patent/US6072694A/en?oq=US6072694,Patent
"P. Lessner, T. Su, R. Hahn, V. Rajasekeran, ",Preparation of conductive polymers from stabilized precursor solutions,US6056899,2000-05-02,https://patents.google.com/patent/US6056899A/en?oq=US6056899,Patent
"P. Lessner, T. Su, R. Hahn, V. Rajasekeran, ",Preparation of conductive polymers from stabilized precursor solutions,US6001281,1999-12-14,https://patents.google.com/patent/US6001281A/en?oq=US6001281,Patent
"J. Kinard, B. Melody, P.Lessner, ",Polyaniline solutions with bicyclic terpene solvent,US5948234,1999-09-07,https://patents.google.com/patent/US5948234A/en?oq=US5948234,Patent
"J. Kinard, B. Melody, P. Lessner, ",Electrolyte for anodizing valve metals,US5935408,1999-08-10,https://patents.google.com/patent/US5935408A/en?oq=US5935408,Patent
"B. Melody, J. Kinard, P. Lessner, ",Doped polyaniline solutions,US5919401,1999-07-06,https://patents.google.com/patent/US5919401A/en?oq=US5919401,Patent
"P. Lessner, J. Kinard, B. Melody, ",Conductive polymer using self-regenerating oxidant,US5916627,1999-06-29,https://patents.google.com/patent/US5916627A/en?oq=US5916627,Patent
"J. Kinard, B. Melody, P.Lessner, ",Polyaniline solutions with bicyclic terpene solvent,US5888582,1999-03-30,https://patents.google.com/patent/US5888582A/en?oq=US5888582,Patent
"B. Melody, J. Kinard, P. Lessner, ",Doped polyaniline solutions,US5885650,1999-03-23,https://patents.google.com/patent/US5885650A/en?oq=US5885650,Patent
"B. Melody, J. Kinard, P. Lessner, ",Doped polyaniline solutions,US5853794,1998-12-29,https://patents.google.com/patent/US5853794A/en?oq=US5853794,Patent
"J. Kinard, B. Melody, P. Lessner, ",Method for anodizing valve metals,US5837121,1998-11-17,https://patents.google.com/patent/US5837121A/en?oq=US5837121,Patent
