authors,title,refinfo,date,reflink,reftype
"Y. Freeman and P. Lessner, ",Evolution of Polymer Tantalum Capacitors,"Appl. Sci. 11(12), 5514 (2021)",2021-06-15,https://doi.org/10.3390/app11125514,Paper
"Y. Freeman, P. Lessner and I. Luzinov, ",Reliability and Failure Mode in Solid Tantalum Capacitors,"ECS J. Solid State Sci. Technol., Volume 10, Number 4",2021-04-21,https://iopscience.iop.org/article/10.1149/2162-8777/abf728,Paper
"E. N. Tarekegn, W. R. Harrell, I. Luzinov, P. Lessner and Y. Freeman, ",Environmental Stability of Polymer Tantalum Capacitors,ECS J. Solid State Sci. Technol. 9 083005,2020-09-28,http://dx.doi.org/10.1149/2162-8777/abba02,Paper
"Y. Freeman, I. Luzinov, R. Burtovyy, P. Lessner, W. R. Harrell, S. Chinnam and J. Qazi, ",Capacitance Stability in Polymer Tantalum Capacitors with PEDOT Counter Electrodes,ECS J. Solid State Sci. Technol. 6 N104 (2017),2017-06-15,http://dx.doi.org/10.1149/2.0031708jss,Paper
