imagelink,imagetitle,pagerow,pagecolumn
https://lh3.googleusercontent.com/pw/AP1GczNZeLcp2obkZx5c2y4n0yab-q2AqbD06_U-F-9Gcp2gC82A5NEQgU2f6oKlx0XrcjtKUo9GvPeECADhr-cmQxS2VOxc9Sf6NepKubXPNjKD4VuPJ-pEKnPSTLAHvnzLQOkvg3OWvY-K2gahqFW-Y-6BiA=w1020-h765-s-no?authuser=0,Phil and Sue in Action,4,0
https://lh3.googleusercontent.com/pw/AP1GczNLiNkLyhju1LTgnKCr42B4jEgzsxRI8a4Rt9ESB2f5Qvq9jfdUw6SY5yo74hx4M708aQIkO__OoFxhL3w6Cu6QIPGli05vQQiTopMnJUuHvKTDq1U7c03qdymy0wFb9FdWpI58JYIzNitgndHIGgpkgQ=w1080-h810-s-no?authuser=0,Phil and Sue at Kikale Child Development Center,4,1
https://lh3.googleusercontent.com/pw/AP1GczMLX5QN91MjJyz6mPxke_lNmlA_slE2-KmPAX_LMDy4ceTEpwbXAqCFB9pFSIwzrlfUeAeGZ-O_6q-WfeGXZcjy_F54SkLEufx-Se7dzFoz4R20RQrZHOO121c1zSnGpt7Pos5oRTWkS-ADKOhBt5hDVA=w1402-h933-s-no?authuser=0,Traditional Village Ruler in Red Hat at CDC,4,2
https://lh3.googleusercontent.com/pw/AP1GczOuvFXzxpXG6Cxt3zCM1xGgk9MS6AOus0C8Z7O8WYoWMnwchgzWF0ffSmyLfYzfNVZjq1ISaoGCF03d_VgdbcEI-MDBa-SKw67xWBMItzkE5f4lbZ6WkIX-Ih8IDtPtFN5WcOrhngmI3lFuqImZHYeuQw=w1402-h933-s-no?authuser=0,Family of Fisherman Helping with the Catch,5,0
https://lh3.googleusercontent.com/pw/AP1GczPjmpddyDplPI_iiAQ77XM26g9gMH_fHeLegJC6pEH_NR6k9Hj3zWA29Nv7sKcYohZsSarBW7zB9JoeJVL1DZBZf8v8of0eqA_m3sQIviDV4RCYsi6K0BEeU1d4WHtkAUEbbnjeBGK5lQDb8SZuoq7twg=w1402-h933-s-no?authuser=0,Sue with Family and Head and Daughters,5,1
https://lh3.googleusercontent.com/pw/AP1GczPUOebvBmpWB8eC61lwKoFt4CPJwC6NZYfIdoj_Ftx_k-zNqg9VA8umfxr-p2HzWjN902WOxT0kUv7-SMh-mMWjz_GVFF6PejcnzGVrYo8p7rTz86-y_J162MMBAcosIPxw9B3jewqT8X62ifXzmrVf9g=w1402-h933-s-no?authuser=0,Sue Giving Gift to Moma,5,2
https://lh3.googleusercontent.com/pw/AP1GczOafsaTuUyKA7ujD5GtiHvVOTuUd4zNg7HW041Gon0CJ6fhlZ0QBXziV794gYZmnxAi4Dx6Q8g2KcsRHYcAyk5_eiQwcw5ASDr32ojY8LLBk2_rJLtPvmbH-Q_V4DvnZM6RX1nNILBi_ZEa_trF-L92BQ=w1402-h933-s-no?authuser=0,Yellow Glider Butterfly,6,0
https://lh3.googleusercontent.com/pw/AP1GczNDbw4L3qXpXxqLni1gd5cZeSuuX19JrLxLQHQLtz6QSQRDPF6LvSyG4cgqMkvQXSgU-bMJYmiNWSooir8a40AXKDybK16OuCtEiy4_SQUdQ2nKD-k9yCEQjI9-TFRopdZtrNIgM7D6IiIqmzN72f6UEw=w1402-h933-s-no?authuser=0,Red Glider Butterfly,6,1
https://lh3.googleusercontent.com/pw/AP1GczPyq3LvGuetMm5kgwYhCABLtuscb2xth_j4ylOqBc8DGFbugMnoHr4xhoSUlQ728da8F7Kctxf3PlbSKPH_gJCvU49CSGT3T6EIMDeIuWxaV3a1tr_ehGIOCdUVYb18eESmFy_JfhmdX7VCMBTb234aTw=w1402-h933-s-no?authuser=0,Large Spotted Acraea,6,2
https://lh3.googleusercontent.com/pw/AP1GczP6baTmwJ5xSxCNMwh3ZAxPJ0wViJM_L7f0zyrdLuYsToyMelka_XJ9Dr-zxvnvevVc1BT6ofCsNOBKmZbagXV1kqHp7aYX_Kcvwzmq8kPjAlraqsyn4AL7g0YS237z29Wsqp_JE_eAr8U-iUwk7VjDRQ=w1402-h933-s-no?authuser=0,Soldier Commodore,7,0
https://lh3.googleusercontent.com/pw/AP1GczNKop-jSEHVXklrQX26zO3ADbjBihY9cAFacFJnJYEOpwygDvkoje5BRFSAVNOQS4S_BLOppU26E6jShguo_q-YfFP5xipdJeB4Ed_yP1HQ3LxtEvv8WWbRXLi4sa1ja9hvpiWfQRj7z9dGtAg-JQIsfw=w1402-h933-s-no?authuser=0,Can You Identify This?,7,1
https://lh3.googleusercontent.com/pw/AP1GczM_ri1r_n7MD2c75PCAnln-rX4VgW1QMTj1hJd_OmktPP86TpZ9R7fMDlD7MdeXav2ZPwLD_hLJBbIxBwteLcricf-XuJFErBdvGuChfuNPUG06t3Cnxs1sMJHnEW-cthOn6rb4v15K6jgcwEEKyF48QQ=w621-h933-s-no?authuser=0,Tiger Butterflies,7,2
